Keyword,Volume,Competition,Keyword Score
aesthetic carousel,105,948.0,110.0
aesthetic instagram,936,29540.0,30.0
aesthetic website,180,3705.0,50.0
beauty blog template,60,1391.0,40.0
blue instagram post,96,4556.0,20.0
boho website page,0,480.0,0.0
bold instagram,130,1469.0,90.0
bold instagram post,102,768.0,130.0
bold instagram red,1,254.0,0.0
brand design package,511,17903.0,30.0
branding bundle,32,29762.0,0.0
branding kit,907,46576.0,20.0
branding kit canva,578,20552.0,30.0
branding package,896,26970.0,30.0
branding template,1226,213012.0,10.0
brand kit,902,46304.0,20.0
brown aesthetic post,22,919.0,20.0
brown instagram post,91,2786.0,30.0
burgundy instagram,5,228.0,20.0
burgundy templates,180,16966.0,10.0
business branding,1737,102933.0,20.0
business coach,606,16297.0,40.0
business coach posts,408,4238.0,100.0
business kit canva,406,12865.0,30.0
business marketing,952,72291.0,10.0
business website,367,18537.0,20.0
canva instagram,1206,93481.0,10.0
canva instagram post,918,53163.0,20.0
canva landing page,161,4694.0,30.0
canva sales page,147,2962.0,50.0
canva social media,1061,111351.0,10.0
canva template coach,761,23599.0,30.0
canva templates,2258,751527.0,0.0
canva website,25,20274.0,0.0
carousel post,217,2864.0,80.0
carousel posts,221,2841.0,80.0
coaching business,579,11330.0,50.0
coaching instagram,651,5145.0,130.0
coaching post,591,3924.0,150.0
coaching posts,576,4442.0,130.0
coaching templates,803,25165.0,30.0
coach instagram,650,12399.0,50.0
coach smm ugc,1,89.0,0.0
coach templates,802,49895.0,20.0
coach ugc posts,1,154.0,0.0
coach website,245,5476.0,40.0
consulting website,1,349.0,0.0
content creator,433,17447.0,20.0
content creator ig,55,834.0,70.0
content creator post,1,2733.0,0.0
creators therapist,1,236.0,0.0
design templates,1618,2626998.0,0.0
digital marketer,1111,1566.0,710.0
digital marketing,944,80342.0,10.0
diy branding kit,275,7407.0,40.0
diy logo design,456,29285.0,20.0
diy website banners,155,2894.0,50.0
e-commerce website,54,5052.0,10.0
ecommerce website,302,4655.0,60.0
editable templates,2827,1472762.0,0.0
elegant instagram,142,3404.0,40.0
engagement ig post,107,1939.0,60.0
engagement instagram,438,10893.0,40.0
etsy banner kit,102,3310.0,30.0
etsy banner template,107,6428.0,20.0
etsy branding kit,125,4408.0,30.0
etsy seller template,291,7376.0,40.0
etsy shop banner,115,5409.0,20.0
etsy shop banner kit,105,3224.0,30.0
etsy shop branding,170,7721.0,20.0
etsy shop kit,157,6085.0,30.0
etsy shop templates,216,14368.0,20.0
etsy store banner,85,1964.0,40.0
etsy store branding,90,3607.0,20.0
etsy store kit,103,3718.0,30.0
etsy store templates,117,9332.0,10.0
freelancer website,31,758.0,40.0
green instagram post,86,4341.0,20.0
ig canva templates,461,18112.0,30.0
ig carousel posts,65,866.0,80.0
ig post template,373,13512.0,30.0
ig post templates,371,13569.0,30.0
instagram bundle,987,32957.0,30.0
instagram burgundy,1,392.0,0.0
instagram carousel,250,3395.0,70.0
instagram carousels,248,3402.0,70.0
instagram coach,653,12379.0,50.0
instagram post canva,918,53172.0,20.0
instagram posts,1036,78588.0,10.0
instagram template,1325,162863.0,10.0
instagram templates,1675,162541.0,10.0
ios core instagram,0,7.0,0.0
life coach business,216,4526.0,50.0
life coach instagram,200,2327.0,90.0
lifestyle coach,68,1838.0,40.0
marketing coach,357,7110.0,50.0
marketing materials,163,6502.0,30.0
marketing templates,895,135611.0,10.0
modern aesthetic,1646,168626.0,10.0
modern instagram,402,10976.0,40.0
online shop template,116,4460.0,30.0
online store,170,8789.0,20.0
personal brand,1705,9195.0,190.0
personal brand ig,1,318.0,0.0
pink instagram,61,29106.0,0.0
pink theme instagram,35,1158.0,30.0
pinterest aesthetic,1092,15543.0,70.0
pinterest inspired,350,1363.0,260.0
services website,118,4080.0,30.0
small business,2136,245123.0,10.0
small business kit,311,10186.0,30.0
smm coach,1,377.0,0.0
smm instagram,158,832.0,190.0
social media,1949,315742.0,10.0
social media agency,318,3452.0,90.0
social media bundle,695,42720.0,20.0
social media coach,552,13027.0,40.0
social media manager,540,10703.0,50.0
social media posts,1001,77629.0,10.0
template canva,1156,866358.0,0.0
template for coach,410,49914.0,10.0
templates,1889,6238895.0,0.0
templates for coach,16,50663.0,0.0
trendy instagram,175,4690.0,40.0
trendy ios core,1,47.0,0.0
ugc content creator,12,2103.0,10.0
ugc creator,108,2717.0,40.0
ugc smm,1,277.0,0.0
viral post pink,1,220.0,0.0
viral posts,60,1292.0,50.0
website design,480,48998.0,10.0
website template,691,50516.0,10.0
web template,322,19883.0,20.0
wix blog website,81,955.0,90.0
wix coaching website,97,540.0,180.0
wix shop pink,25,226.0,110.0
wix template,10,5483.0,0.0
wix theme wix layout,23,228.0,100.0
wix website coach,97,1099.0,90.0
wix website design,182,5291.0,30.0
wix website template,191,5282.0,40.0
